UDI,Product ID,Type,Air temperature [K],Process temperature [K],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,rpm_boxcox,power,temp_diff 
36,M14895,M,298.8,309.2,48.6,98,0,0,0,0,0,0,0.315954306903763,15.355379315522883,10.399999999999977
37,M14896,M,298.9,309.2,36.7,101,0,0,0,0,0,0,0.3159543069110737,11.595523063636405,10.300000000000011
38,L47217,L,298.8,309.1,39.2,104,0,0,0,0,0,0,0.3159543069028693,12.385408830592477,10.300000000000011
39,H29452,H,298.9,309.2,50.7,106,0,0,0,0,0,0,0.315954306898274,16.018883359742492,10.300000000000011
40,L47219,L,298.8,309.1,52.5,111,0,0,0,0,0,0,0.31595430689573867,16.58760111202628,10.300000000000011
41,L47220,L,298.8,309.1,45.4,113,0,0,0,0,0,0,0.31595430689681503,14.344325533115402,10.300000000000011
42,L47221,L,298.8,309.1,50.8,115,0,0,0,0,0,0,0.3159543068973386,16.0504787903848,10.300000000000011
43,M14902,M,298.8,309.1,49.1,117,0,0,0,0,0,0,0.3159543068973386,15.513356468659326,10.300000000000011
44,H29457,H,298.8,309.2,48.5,120,0,0,0,0,0,0,0.3159543068976824,15.323783884537596,10.399999999999977
45,M14904,M,298.8,309.1,47.5,125,0,0,0,0,0,0,0.31595430690507464,15.007829577991046,10.300000000000011
46,L47225,L,298.8,309.1,49.1,128,0,0,0,0,0,0,0.31595430690613263,15.513356469091113,10.300000000000011
47,M14906,M,298.7,309.0,25.8,130,0,0,0,0,0,0,0.3159543069201683,8.151621118540342,10.300000000000011
48,L47227,L,298.8,309.1,46.3,133,0,0,0,0,0,0,0.31595430690135257,14.628684409532623,10.300000000000011
49,H29462,H,298.8,309.2,53.9,135,0,0,0,0,0,0,0.3159543069018685,17.02993714201071,10.399999999999977
50,M14909,M,298.9,309.2,44.1,140,0,0,0,0,0,0,0.3159543069009018,13.93358493432977,10.300000000000011
51,L47230,L,298.9,309.1,4.6,143,1,0,0,1,0,0,0.3159543069311135,1.4533898118831219,10.200000000000045
52,L47231,L,298.9,309.1,54.9,145,0,0,0,0,0,0,0.3159543068986065,17.345891448733497,10.200000000000045
53,H29466,H,298.8,309.0,43.8,147,0,0,0,0,0,0,0.31595430690661336,13.838798642509664,10.199999999999989
54,L47233,L,298.7,309.0,35.1,152,0,0,0,0,0,0,0.31595430691029996,11.08999617255153,10.300000000000011
55,L47234,L,298.7,309.0,30.1,154,0,0,0,0,0,0,0.31595430691560883,9.510224638159826,10.300000000000011
56,L47235,L,298.8,309.1,40.7,156,0,0,0,0,0,0,0.31595430690748644,12.859340291134698,10.300000000000011
57,L47236,L,298.8,309.1,42.4,158,0,0,0,0,0,0,0.31595430690539106,13.39646261278858,10.300000000000011
58,L47237,L,298.8,309.1,40.3,160,0,0,0,0,0,0,0.31595430690754334,12.732958568373995,10.300000000000011
59,M14918,M,298.8,309.0,29.5,162,0,0,0,0,0,0,0.3159543069144945,9.320652053977588,10.199999999999989
60,L47239,L,298.8,309.1,54.4,165,0,0,0,0,0,0,0.3159543068981902,17.187914295261546,10.300000000000011
61,L47240,L,298.8,309.1,52.6,167,0,0,0,0,0,0,0.3159543068994205,16.61919654290952,10.300000000000011
62,M14921,M,298.8,309.0,38.2,169,0,0,0,0,0,0,0.315954306911587,12.069454524022625,10.199999999999989
63,L47242,L,298.8,309.0,22.9,172,0,0,0,0,0,0,0.3159543069198126,7.235353628463708,10.199999999999989
64,M14923,M,298.9,309.0,25.9,174,0,0,0,0,0,0,0.3159543069193651,8.183216549211556,10.100000000000023
65,L47244,L,299.0,309.1,38.6,177,0,0,0,0,0,0,0.3159543069081041,12.195836246652819,10.100000000000023
66,L47245,L,299.0,309.1,45.1,179,0,0,0,0,0,0,0.31595430689950055,14.249539241167476,10.100000000000023
67,M14926,M,298.9,308.9,28.7,181,0,0,0,0,0,0,0.315954306915173,9.067888608465465,10.0
68,H29481,H,298.8,308.9,44.1,184,0,0,0,0,0,0,0.31595430690468895,13.933584934496784,10.099999999999966
69,L47248,L,298.8,308.9,32.4,189,0,0,0,0,0,0,0.31595430690832416,10.236919543829702,10.099999999999966
70,L47249,L,298.9,309.0,65.7,191,1,0,0,1,1,0,0.31595430690074977,20.75819796337926,10.100000000000023
71,M14930,M,298.9,309.0,22.6,193,0,0,0,0,0,0,0.31595430692202164,7.14056733643769,10.100000000000023
72,L47251,L,298.9,309.1,45.5,196,0,0,0,0,0,0,0.315954306903763,14.375920964121217,10.200000000000045
73,L47252,L,298.9,309.1,44.4,198,0,0,0,0,0,0,0.31595430689742493,14.028371226245666,10.200000000000045
74,L47253,L,299.0,309.1,35.0,200,0,0,0,0,0,0,0.315954306911587,11.058400741905544,10.100000000000023
75,L47254,L,298.9,309.0,32.3,202,0,0,0,0,0,0,0.31595430691199616,10.205324113257475,10.100000000000023
76,L47255,L,298.8,308.9,46.7,204,0,0,0,0,0,0,0.315954306898274,14.755066132149395,10.099999999999966
77,L47256,L,298.8,308.9,47.9,206,0,0,0,0,0,0,0.3159543069043625,15.134211300718963,10.099999999999966
78,L47257,L,298.8,308.9,41.3,208,1,1,0,0,0,0,0.31595430690396453,13.048912875133734,10.099999999999966
79,L47258,L,298.8,308.9,51.5,0,0,0,0,0,0,0,0.31595430689981846,16.27164680534065,10.099999999999966
80,L47259,L,298.8,308.9,37.9,2,0,0,0,0,0,0,0.3159543069001326,11.974668231515025,10.099999999999966
81,H29494,H,298.8,308.8,49.9,4,0,0,0,0,0,0,0.31595430690328596,15.766119914473968,10.0
82,L47261,L,298.9,308.9,47.5,9,0,0,0,0,0,0,0.3159543069036277,15.007829577922315,10.0
83,L47262,L,298.9,308.9,40.8,11,0,0,0,0,0,0,0.31595430690383036,12.890935721676279,10.0
84,L47263,L,299.0,309.0,40.1,13,0,0,0,0,0,0,0.31595430690488263,12.669767706885795,10.0
85,L47264,L,298.9,308.9,47.6,15,0,0,0,0,0,0,0.31595430690164866,15.039425008518476,10.0
86,M14945,M,299.0,309.0,26.8,17,0,0,0,0,0,0,0.31595430691914844,8.467575425433179,10.0
87,H29500,H,299.0,309.0,43.9,20,0,0,0,0,0,0,0.31595430690265824,13.870394073026697,10.0
88,L47267,L,299.0,309.0,31.8,25,0,0,0,0,0,0,0.3159543069092331,10.047346959713613,10.0
89,M14948,M,299.0,309.0,45.2,27,0,0,0,0,0,0,0.3159543069014269,14.281134671944496,10.0
90,M14949,M,298.9,308.9,39.5,30,0,0,0,0,0,0,0.3159543069060108,12.480195122787427,10.0
91,L47270,L,298.9,308.9,25.8,33,0,0,0,0,0,0,0.3159543069176681,8.151621118475838,10.0
92,L47271,L,298.9,308.9,24.9,35,0,0,0,0,0,0,0.31595430691983833,7.867262242303974,10.0
93,M14952,M,298.9,308.9,27.1,37,0,0,0,0,0,0,0.31595430691684195,8.562361717446418,10.0
94,L47273,L,299.1,309.0,43.0,40,0,0,0,0,0,0,0.3159543069036277,13.58603519685599,9.899999999999977
95,L47274,L,299.0,308.9,31.9,42,0,0,0,0,0,0,0.3159543069129145,10.078942390521972,9.899999999999977
96,M14955,M,299.0,309.0,52.2,44,0,0,0,0,0,0,0.3159543068958299,16.49281481996232,10.0
97,M14956,M,299.0,309.0,35.3,47,0,0,0,0,0,0,0.31595430691078735,11.153187033950793,10.0
98,M14957,M,298.9,308.9,29.9,50,0,0,0,0,0,0,0.3159543069175754,9.447033776835505,10.0
99,L47278,L,298.9,308.8,32.7,53,0,0,0,0,0,0,0.3159543069084333,10.331705835905769,9.900000000000034
100,L47279,L,298.8,308.8,44.4,55,0,0,0,0,0,0,0.3159543069081041,14.028371226719822,10.0
101,L47280,L,298.8,308.9,25.0,57,0,0,0,0,0,0,0.31595430692039106,7.898857673009776,10.099999999999966
102,L47281,L,298.8,308.8,20.7,59,0,0,0,0,0,0,0.3159543069233267,6.540254153312863,10.0
103,L47282,L,298.8,308.8,40.6,61,0,0,0,0,0,0,0.3159543069097994,12.827744860537857,10.0
104,M14963,M,298.8,308.8,40.5,63,0,0,0,0,0,0,0.31595430690300896,12.796149429571862,10.0
105,L47284,L,298.8,308.7,43.4,66,0,0,0,0,0,0,0.3159543069036277,13.712416919617441,9.899999999999977
106,L47285,L,298.8,308.7,31.1,68,0,0,0,0,0,0,0.31595430691154097,9.826178944948925,9.899999999999977
107,L47286,L,298.8,308.7,48.5,70,0,0,0,0,0,0,0.31595430690328596,15.32378388480937,9.899999999999977
108,M14967,M,298.8,308.8,46.8,72,0,0,0,0,0,0,0.31595430690661336,14.786661563229504,10.0
109,H29522,H,298.9,308.8,32.7,75,0,0,0,0,0,0,0.31595430691287185,10.33170583605091,9.900000000000034
110,L47289,L,298.9,308.7,34.1,80,0,0,0,0,0,0,0.31595430691064247,10.774041865652908,9.800000000000011
111,L47290,L,298.8,308.6,22.5,82,0,0,0,0,0,0,0.31595430692087034,7.108971905719582,9.800000000000011
112,H29525,H,298.7,308.6,43.5,84,0,0,0,0,0,0,0.3159543069067319,13.744012350442837,9.900000000000034
113,M14972,M,298.8,308.7,39.5,89,0,0,0,0,0,0,0.3159543069066727,12.480195122813571,9.899999999999977
114,M14973,M,298.8,308.6,41.9,92,0,0,0,0,0,0,0.3159543069059496,13.238485459359289,9.800000000000011
115,L47294,L,298.8,308.6,29.4,95,0,0,0,0,0,0,0.31595430691520987,9.28905662330717,9.800000000000011
116,L47295,L,298.8,308.6,45.7,97,0,0,0,0,0,0,0.3159543069023024,14.439111825435221,9.800000000000011
117,L47296,L,298.9,308.7,34.1,99,0,0,0,0,0,0,0.3159543069102505,10.774041865639543,9.800000000000011
118,L47297,L,298.8,308.6,33.0,101,0,0,0,0,0,0,0.31595430691190607,10.4264921280929,9.800000000000011
119,M14978,M,298.8,308.6,28.1,103,0,0,0,0,0,0,0.31595430691617027,8.878316024344384,9.800000000000011
120,L47299,L,298.7,308.5,40.7,106,0,0,0,0,0,0,0.31595430690475373,12.859340291023479,9.800000000000011
121,L47300,L,298.9,308.7,44.7,108,0,0,0,0,0,0,0.31595430690244536,14.123157518539308,9.800000000000011
122,L47301,L,298.9,308.7,41.2,110,0,0,0,0,0,0,0.31595430690995097,13.017317444689981,9.800000000000011
123,L47302,L,299.0,308.8,50.7,112,0,0,0,0,0,0,0.3159543068918467,16.01888335941663,9.800000000000011
124,L47303,L,298.9,308.7,43.4,114,0,0,0,0,0,0,0.3159543069093373,13.712416919865237,9.800000000000011
125,L47304,L,298.9,308.7,29.4,116,0,0,0,0,0,0,0.31595430691684195,9.289056623355153,9.800000000000011
126,L47305,L,298.9,308.6,32.2,118,0,0,0,0,0,0,0.3159543069100514,10.173728682503656,9.700000000000045
127,L47306,L,299.0,308.6,60.5,120,0,0,0,0,0,0,0.3159543068937562,19.11523556707225,9.600000000000023
128,L47307,L,298.9,308.6,46.5,122,0,0,0,0,0,0,0.3159543069009775,14.691875270895453,9.700000000000045
129,L47308,L,299.0,308.6,38.6,124,0,0,0,0,0,0,0.3159543069113555,12.195836246778324,9.600000000000023
130,L47309,L,298.9,308.5,34.3,126,0,0,0,0,0,0,0.31595430691000126,10.837232727013042,9.600000000000023
131,L47310,L,298.8,308.4,41.1,128,0,0,0,0,0,0,0.3159543069051383,12.985722013801185,9.599999999999966
132,L47311,L,298.8,308.4,27.7,130,0,0,0,0,0,0,0.3159543069171658,8.751934301605493,9.599999999999966
133,M14992,M,298.7,308.4,43.2,132,0,0,0,0,0,0,0.31595430690300896,13.649226058209988,9.699999999999989
134,M14993,M,298.7,308.4,49.6,135,0,0,0,0,0,0,0.3159543069022306,15.671333622350637,9.699999999999989
135,L47314,L,298.8,308.4,53.0,138,0,0,0,0,0,0,0.31595430689742493,16.74557826556352,9.599999999999966
136,M14995,M,298.8,308.5,28.5,140,0,0,0,0,0,0,0.3159543069163072,9.004697747114756,9.699999999999989
137,H29550,H,298.7,308.5,45.7,143,0,0,0,0,0,0,0.31595430690150106,14.4391118253986,9.800000000000011
138,L47317,L,298.7,308.6,55.3,148,0,0,0,0,0,0,0.3159543068904723,17.472273171043117,9.900000000000034
139,H29552,H,298.8,308.6,49.4,150,0,0,0,0,0,0,0.31595430690355975,15.60814276103585,9.800000000000011
140,L47319,L,298.8,308.6,55.8,155,0,0,0,0,0,0,0.3159543068871908,17.630250324305244,9.800000000000011
141,L47320,L,298.8,308.6,36.1,157,0,0,0,0,0,0,0.3159543069074293,11.405950479358198,9.800000000000011
142,L47321,L,298.7,308.5,35.2,159,0,0,0,0,0,0,0.3159543069092331,11.121591603205006,9.800000000000011
143,M15002,M,298.6,308.4,28.2,161,0,0,0,0,0,0,0.31595430691841586,8.909911455099326,9.799999999999955
144,H29557,H,298.6,308.4,50.5,164,0,0,0,0,0,0,0.31595430690052007,15.955692498476264,9.799999999999955
145,M15004,M,298.6,308.4,42.4,169,0,0,0,0,0,0,0.31595430689925963,13.396462612528607,9.799999999999955
146,L47325,L,298.5,308.4,33.6,172,0,0,0,0,0,0,0.31595430690754334,10.616064712093456,9.899999999999977
147,H29560,H,298.5,308.4,36.1,174,0,0,0,0,0,0,0.3159543069124834,11.405950479540651,9.899999999999977
148,L47327,L,298.4,308.4,40.1,179,0,0,0,0,0,0,0.31595430690765675,12.669767706997035,10.0
149,M15008,M,298.3,308.3,48.0,181,0,0,0,0,0,0,0.315954306898274,15.16580673111715,10.0
150,L47329,L,298.4,308.3,39.9,184,0,0,0,0,0,0,0.3159543069051383,12.606576845515018,9.900000000000034
151,L47330,L,298.4,308.3,42.7,186,0,0,0,0,0,0,0.31595430690164866,13.491248904700399,9.900000000000034
152,M15011,M,298.4,308.2,37.6,188,0,0,0,0,0,0,0.31595430690449366,11.879881939608962,9.800000000000011
153,M15012,M,298.4,308.2,41.0,191,0,0,0,0,0,0,0.3159543069112151,12.95412658335982,9.800000000000011
154,L47333,L,298.4,308.2,27.0,194,0,0,0,0,0,0,0.31595430692034193,8.530766286849232,9.800000000000011
155,L47334,L,298.4,308.2,36.2,196,0,0,0,0,0,0,0.3159543069083788,11.437545910083312,9.800000000000011
156,H29569,H,298.4,308.2,19.8,198,0,0,0,0,0,0,0.3159543069232539,6.255895277080427,9.800000000000011
157,M15016,M,298.4,308.1,46.0,203,0,0,0,0,0,0,0.3159543069064942,14.533898117698731,9.700000000000045
158,H29571,H,298.4,308.2,43.5,206,0,0,0,0,0,0,0.31595430690545384,13.744012350387242,9.800000000000011
159,M15018,M,298.4,308.2,40.0,211,0,0,0,0,0,0,0.3159543069067319,12.638172276269275,9.800000000000011
160,L47339,L,298.4,308.2,47.0,214,0,0,0,0,0,0,0.3159543069050108,14.849852424535507,9.800000000000011
161,L47340,L,298.4,308.2,60.7,216,1,0,0,0,1,0,0.31595430688881354,19.17842642815098,9.800000000000011
162,L47341,L,298.3,308.1,52.3,218,1,0,0,0,1,0,0.3159543069009018,16.524410250917164,9.800000000000011
163,L47342,L,298.3,308.1,35.5,0,0,0,0,0,0,0,0.3159543069113088,11.216377895351464,9.800000000000011
164,M15023,M,298.4,308.2,43.8,2,0,0,0,0,0,0,0.31595430690481824,13.838798642431039,9.800000000000011
165,M15024,M,298.5,308.3,43.6,5,0,0,0,0,0,0,0.31595430690293924,13.775607780968151,9.800000000000011
166,L47345,L,298.5,308.4,26.0,8,0,0,0,0,0,0,0.3159543069170372,8.214811979842967,9.899999999999977
167,H29580,H,298.4,308.2,32.6,10,0,0,0,0,0,0,0.3159543069124834,10.30011040534696,9.800000000000011
168,H29581,H,298.4,308.3,42.9,15,0,0,0,0,0,0,0.3159543069041644,13.55443976618865,9.900000000000034
169,L47348,L,298.4,308.3,62.3,20,1,0,0,1,0,0,0.31595430690244536,19.683953320022344,9.900000000000034
170,L47349,L,298.4,308.3,59.1,22,0,0,0,0,0,0,0.3159543068926647,18.672899537356482,9.900000000000034
171,M15030,M,298.4,308.2,35.0,24,0,0,0,0,0,0,0.31595430691239584,11.058400741933854,9.800000000000011
172,L47351,L,298.2,308.1,50.8,27,0,0,0,0,0,0,0.31595430690442816,16.05047879074495,9.900000000000034
173,M15032,M,298.1,308.0,20.8,29,0,0,0,0,0,0,0.31595430692202164,6.57184958397805,9.899999999999977
174,M15033,M,298.2,308.0,33.7,32,0,0,0,0,0,0,0.31595430691154097,10.647660142918932,9.800000000000011
175,L47354,L,298.2,308.1,58.3,35,0,0,0,0,0,0,0.3159543068914299,18.420136091770363,9.900000000000034
176,L47355,L,298.2,308.1,43.5,37,0,0,0,0,0,0,0.3159543068985238,13.744012350085784,9.900000000000034
177,L47356,L,298.2,308.1,34.7,39,0,0,0,0,0,0,0.3159543069127434,10.963614449872196,9.900000000000034
178,L47357,L,298.2,308.2,21.4,41,0,0,0,0,0,0,0.3159543069232721,6.761422168158022,10.0
179,L47358,L,298.2,308.2,50.2,43,0,0,0,0,0,0,0.31595430690265824,15.860906206513445,10.0
180,L47359,L,298.2,308.3,49.8,45,0,0,0,0,0,0,0.31595430689121945,15.734524483182728,10.100000000000023
181,L47360,L,298.2,308.3,49.9,47,0,0,0,0,0,0,0.31595430690526505,15.766119914572725,10.100000000000023
182,H29595,H,298.2,308.3,24.2,49,0,0,0,0,0,0,0.31595430691968274,7.646094227456322,10.100000000000023
183,M15042,M,298.1,308.2,48.1,54,0,0,0,0,0,0,0.31595430689499865,15.197402161649435,10.099999999999966
184,L47363,L,298.1,308.2,40.7,57,0,0,0,0,0,0,0.3159543069058882,12.859340291069651,10.099999999999966
185,L47364,L,298.2,308.2,30.6,59,0,0,0,0,0,0,0.31595430691472404,9.668201791590556,10.0
186,L47365,L,298.2,308.2,38.2,61,0,0,0,0,0,0,0.3159543069033547,12.06945452370815,10.0
187,L47366,L,298.1,308.3,56.0,63,0,0,0,0,0,0,0.3159543068909013,17.693441185890475,10.199999999999989
188,L47367,L,298.2,308.4,43.1,65,0,0,0,0,0,0,0.315954306898274,13.61763062731561,10.199999999999989
189,L47368,L,298.3,308.5,33.6,67,0,0,0,0,0,0,0.3159543069122194,10.616064712250571,10.199999999999989
190,M15049,M,298.3,308.4,43.4,69,0,0,0,0,0,0,0.3159543069089701,13.712416919849302,10.099999999999966
191,L47370,L,298.2,308.4,49.9,72,0,0,0,0,0,0,0.31595430690539106,15.766119914579013,10.199999999999989
192,L47371,L,298.2,308.4,34.6,74,0,0,0,0,0,0,0.315954306914686,10.932019019248136,10.199999999999989
193,H29606,H,298.2,308.4,51.8,76,0,0,0,0,0,0,0.31595430689981846,16.366433097410596,10.199999999999989
194,H29607,H,298.2,308.4,34.6,81,0,0,0,0,0,0,0.3159543069151361,10.93201901926371,10.199999999999989
195,M15054,M,298.2,308.5,10.7,86,1,0,0,1,0,0,0.3159543069302705,3.380711084153894,10.300000000000011
196,L47375,L,298.3,308.5,42.9,89,0,0,0,0,0,0,0.31595430690383036,13.554439766174323,10.199999999999989
197,H29610,H,298.3,308.6,49.5,91,0,0,0,0,0,0,0.31595430690237397,15.639738191667512,10.300000000000011
198,M15057,M,298.4,308.6,40.9,96,0,0,0,0,0,0,0.31595430690832416,12.922531152550457,10.200000000000045
199,L47378,L,298.4,308.7,35.0,99,0,0,0,0,0,0,0.3159543069114021,11.058400741899073,10.300000000000011
200,L47379,L,298.4,308.6,47.1,101,0,0,0,0,0,0,0.31595430690244536,14.881447855105177,10.200000000000045
201,L47380,L,298.4,308.6,35.0,103,0,0,0,0,0,0,0.3159543069123519,11.058400741932315,10.200000000000045
202,L47381,L,298.3,308.5,41.2,105,0,0,0,0,0,0,0.31595430691078735,13.01731744472444,10.199999999999989
203,M15062,M,298.4,308.5,35.7,107,0,0,0,0,0,0,0.31595430691349974,11.279568756811942,10.100000000000023
204,L47383,L,298.4,308.5,37.9,110,0,0,0,0,0,0,0.3159543069061933,11.974668231744726,10.100000000000023
205,L47384,L,298.4,308.5,32.8,112,0,0,0,0,0,0,0.3159543069172932,10.363301266887216,10.100000000000023
206,M15065,M,298.5,308.6,53.0,114,0,0,0,0,0,0,0.31595430689518533,16.745578265444824,10.100000000000023
207,L47386,L,298.5,308.7,35.3,117,0,0,0,0,0,0,0.3159543069123519,11.15318703400602,10.199999999999989
208,M15067,M,298.4,308.7,60.7,119,1,0,0,1,0,0,0.31595430690157494,19.1784264289256,10.300000000000011
209,L47388,L,298.4,308.6,36.7,122,0,0,0,0,0,0,0.31595430691154097,11.595523063653555,10.200000000000045
210,L47389,L,298.4,308.6,44.0,124,0,0,0,0,0,0,0.31595430690539106,13.901989503837207,10.200000000000045
211,L47390,L,298.4,308.7,36.1,126,0,0,0,0,0,0,0.3159543069081041,11.40595047938256,10.300000000000011
212,L47391,L,298.5,308.7,33.9,128,0,0,0,0,0,0,0.31595430691078735,10.71085100427569,10.199999999999989
213,H29626,H,298.4,308.7,52.9,130,0,0,0,0,0,0,0.31595430689518533,16.713982834755303,10.300000000000011
214,L47393,L,298.4,308.7,44.9,135,0,0,0,0,0,0,0.3159543068988533,14.186348379758511,10.300000000000011
215,M15074,M,298.3,308.6,37.1,137,0,0,0,0,0,0,0.3159543069114485,11.72190478641474,10.300000000000011
216,L47395,L,298.3,308.6,40.3,140,0,0,0,0,0,0,0.315954306909441,12.73295856845047,10.300000000000011
217,L47396,L,298.3,308.6,38.3,142,0,0,0,0,0,0,0.3159543069067319,12.10104995452783,10.300000000000011
218,L47397,L,298.3,308.5,31.6,144,0,0,0,0,0,0,0.3159543069146097,9.984156098501666,10.199999999999989
219,L47398,L,298.3,308.6,38.1,146,0,0,0,0,0,0,0.31595430690342324,12.037859093020426,10.300000000000011
220,M15079,M,298.3,308.5,46.2,148,0,0,0,0,0,0,0.3159543069025165,14.597088978896265,10.199999999999989
221,L47400,L,298.3,308.5,52.7,151,0,0,0,0,0,0,0.31595430690120313,16.650791973693405,10.199999999999989
222,H29635,H,298.4,308.5,24.3,153,0,0,0,0,0,0,0.31595430691976084,7.677689658150189,10.100000000000023
223,L47402,L,298.4,308.6,45.0,158,0,0,0,0,0,0,0.31595430689121945,14.217943810104876,10.200000000000045
224,L47403,L,298.4,308.6,34.4,160,0,0,0,0,0,0,0.3159543069104965,10.868828157721078,10.200000000000045
225,L47404,L,298.3,308.6,29.3,162,0,0,0,0,0,0,0.3159543069112151,9.257461192498603,10.300000000000011
226,L47405,L,298.3,308.5,53.8,164,0,0,0,0,0,0,0.31595430689681503,16.99834171104865,10.199999999999989
227,L47406,L,298.3,308.4,49.2,166,0,0,0,0,0,0,0.3159543068937562,15.544951899172807,10.099999999999966
228,L47407,L,298.3,308.5,36.1,168,0,0,0,0,0,0,0.3159543069089701,11.405950479413821,10.199999999999989
229,M15088,M,298.3,308.5,37.1,170,0,0,0,0,0,0,0.31595430691320975,11.721904786480081,10.199999999999989
230,L47409,L,298.3,308.5,32.2,173,0,0,0,0,0,0,0.31595430690891707,10.17372868246713,10.199999999999989
231,L47410,L,298.3,308.6,34.8,175,0,0,0,0,0,0,0.31595430691054527,10.995209880486975,10.300000000000011
232,L47411,L,298.3,308.4,43.1,177,0,0,0,0,0,0,0.31595430690059684,13.617630627415725,10.099999999999966
233,L47412,L,298.2,308.4,47.6,179,0,0,0,0,0,0,0.31595430690179543,15.039425008525463,10.199999999999989
234,L47413,L,298.2,308.4,34.9,181,0,0,0,0,0,0,0.31595430690748644,11.026805311071277,10.199999999999989
235,L47414,L,298.2,308.4,42.9,183,0,0,0,0,0,0,0.31595430690545384,13.55443976624397,10.199999999999989
236,M15095,M,298.1,308.3,33.7,185,0,0,0,0,0,0,0.31595430691520987,10.647660143042573,10.199999999999989
237,L47416,L,298.1,308.3,38.7,188,0,0,0,0,0,0,0.3159543069064942,12.227431677281325,10.199999999999989
